Sample,Cell voltage
456,3.273483
457,3.273477
458,3.273470
459,3.273462
460,3.273454
461,3.273449
462,3.273445
463,3.273437
464,3.273431
465,3.273425
466,3.273418
467,3.273412
468,3.273405
469,3.273404
470,3.273397
471,3.273394
472,3.273381
473,3.273371
474,3.273364
475,3.273360
476,3.273355
477,3.273346
478,3.273343
479,3.273335
480,3.273324
481,3.273327
482,3.273320
483,3.273310
484,3.273304
485,3.273298
486,3.273295
487,3.273287
488,3.273279
489,3.273274
490,3.273268
491,3.273256
492,3.273247
493,3.273241
494,3.273239
495,3.273233
496,3.273229
497,3.273220
498,3.273216
499,3.273212
500,3.273200
501,3.273199
502,3.273194
503,3.273187
504,3.273178
505,3.273169
506,3.273164
507,3.273162
508,3.273154
509,3.273148
510,3.273143
511,3.273137
512,3.273132
513,3.273127
514,3.273120
515,3.273104
516,3.273106
517,3.273100
518,3.273086
519,3.273084
520,3.273081
521,3.273067
522,3.273064
523,3.273059
524,3.273049
525,3.273045
526,3.273037
527,3.273035
528,3.273023
529,3.273021
530,3.273133
531,3.273130
532,3.272997
533,3.272992
534,3.272985
535,3.272978
536,3.272972
537,3.272967
538,3.272963
539,3.272957
540,3.272946
541,3.272943
542,3.272935
543,3.272928
544,3.272919
545,3.272916
546,3.272909
547,3.272903
548,3.272894
549,3.272888
550,3.272881
551,3.272876
552,3.272868
553,3.272860
554,3.272853
555,3.272850
556,3.272848
557,3.272837
558,3.272836
559,3.272828
560,3.272823
561,3.272819
562,3.272808
563,3.272799
564,3.272793
565,3.272786
566,3.272780
567,3.272771
568,3.272766
569,3.272759
570,3.272748
571,3.272739
572,3.272732
573,3.272724
574,3.272716
575,3.272716
576,3.272712
577,3.272697
578,3.272698
579,3.272690
580,3.272681
581,3.272674
582,3.272667
583,3.272659
584,3.272652
585,3.272648
586,3.272643
587,3.272635
588,3.272628
589,3.272620
590,3.272614
591,3.272609
592,3.272599
593,3.272597
594,3.272587
595,3.272583
596,3.272575
597,3.272564
598,3.272560
599,3.272548
600,3.272547
601,3.272541
602,3.272526
603,3.272525
604,3.272519
605,3.272513
606,3.272505
607,3.272499
608,3.272492
609,3.272486
610,3.272478
611,3.272471
612,3.272458
613,3.272454
614,3.272448
615,3.272442
616,3.272431
617,3.272426
618,3.272416
619,3.272407
620,3.272405
621,3.272398
622,3.272392
623,3.272383
624,3.272373
625,3.272364
626,3.272364
627,3.272355
628,3.272345
629,3.272335
630,3.272327
631,3.272323
632,3.272317
633,3.272309
634,3.272294
635,3.272292
636,3.272285
637,3.272277
638,3.272274
639,3.272270
640,3.272254
641,3.272247
642,3.272248
643,3.272236
644,3.272229
645,3.272220
646,3.272213
647,3.272203
648,3.272197
649,3.272188
650,3.272182
651,3.272178
652,3.272172
653,3.272164
654,3.272153
655,3.272145
656,3.272140
657,3.272129
658,3.272126
659,3.272114
660,3.272109
661,3.272100
662,3.272091
663,3.272082
664,3.272076
665,3.272071
666,3.272061
667,3.272052
668,3.272047
669,3.272039
670,3.272029
671,3.272021
672,3.272137
673,3.272010
674,3.272001
675,3.271991
676,3.271986
677,3.271980
678,3.271970
679,3.271960
680,3.271954
681,3.271949
682,3.271935
683,3.271931
684,3.271923
685,3.271913
686,3.271906
687,3.271914
688,3.271890
689,3.271882
690,3.271871
691,3.271874
692,3.271857
693,3.271848
694,3.271844
695,3.271835
696,3.271828
697,3.271816
698,3.271811
699,3.271814
700,3.271791
701,3.271784
702,3.271776
703,3.271769
704,3.271767
705,3.271757
706,3.271737
707,3.271733
708,3.271732
709,3.271719
710,3.271713
711,3.271707
712,3.271696
713,3.271684
714,3.271683
715,3.271669
716,3.271662
717,3.271657
718,3.271647
719,3.271638
720,3.271627
721,3.271623
722,3.271614
723,3.271608
724,3.271596
725,3.271586
726,3.271581
727,3.271572
728,3.271562
729,3.271556
730,3.271550
731,3.271542
732,3.271531
733,3.271527
734,3.271514
735,3.271503
736,3.271513
737,3.271485
738,3.271484
739,3.271473
740,3.271469
741,3.271457
742,3.271448
743,3.271442
744,3.271427
745,3.271424
746,3.271414
747,3.271405
748,3.271396
749,3.271385
750,3.271378
751,3.271364
752,3.271356
753,3.271344
754,3.271336
755,3.271328
