h,m,s,voltage
8.00,44.00,14.38000,3.2656125
8.00,44.00,16.83000,3.2656072
8.00,44.00,19.26300,3.2656028
8.00,44.00,21.70200,3.2655921
8.00,44.00,24.13600,3.2655878
8.00,44.00,26.56700,3.2655781
8.00,44.00,28.99900,3.2655738
8.00,44.00,31.43200,3.2655641
8.00,44.00,33.88100,3.2655619
8.00,44.00,36.32000,3.2655501
8.00,44.00,38.75500,3.2655468
8.00,44.00,41.19900,3.2655382
8.00,44.00,43.63500,3.2655274
8.00,44.00,46.06300,3.265522
8.00,44.00,48.50300,3.2655188
8.00,44.00,50.94500,3.2655091
8.00,44.00,53.38500,3.265507
8.00,44.00,55.82500,3.2654886
8.00,44.00,58.26200,3.2654919
8.00,45.00,0.69900,3.2654811
8.00,45.00,3.13600,3.2654736
8.00,45.00,5.56500,3.2654693
8.00,45.00,8.00800,3.265466
8.00,45.00,10.44200,3.2654509
8.00,45.00,12.88700,3.2654445
8.00,45.00,15.32600,3.2654348
8.00,45.00,17.78000,3.2654262
8.00,45.00,20.21000,3.2654283
8.00,45.00,22.64000,3.2654175
8.00,45.00,25.07900,3.2654122
8.00,45.00,27.51800,3.2654089
8.00,45.00,29.94800,3.2653982
8.00,45.00,32.38800,3.2653938
8.00,45.00,34.82700,3.2653788
8.00,45.00,37.26700,3.2653755
8.00,45.00,39.69600,3.2653723
8.00,45.00,42.12800,3.2653669
8.00,45.00,44.56700,3.265354
8.00,45.00,47.00100,3.2653551
8.00,45.00,49.43000,3.2653497
8.00,45.00,51.87900,3.2653475
8.00,45.00,54.31100,3.2653314
8.00,45.00,56.75300,3.2653249
8.00,45.00,59.19400,3.2653206
8.00,46.00,1.63300,3.265313
8.00,46.00,4.07100,3.2653066
8.00,46.00,6.50400,3.2653034
8.00,46.00,8.94100,3.2652969
8.00,46.00,11.37400,3.265285
8.00,46.00,13.81600,3.2652753
8.00,46.00,16.25400,3.2652678
8.00,46.00,18.69300,3.2652581
8.00,46.00,21.13100,3.2652592
8.00,46.00,23.58000,3.2652516
8.00,46.00,26.01400,3.2652473
8.00,46.00,28.45500,3.2652333
8.00,46.00,30.89600,3.2652236
8.00,46.00,33.33800,3.2652236
8.00,46.00,35.77500,3.2652107
8.00,46.00,38.21400,3.2652118
8.00,46.00,40.65200,3.2652086
8.00,46.00,43.09200,3.2651967
8.00,46.00,45.53000,3.2651816
8.00,46.00,47.97200,3.2651849
8.00,46.00,50.40700,3.2651741
8.00,46.00,52.84200,3.2651698
8.00,46.00,55.28400,3.2651719
8.00,46.00,57.72600,3.2651547
8.00,47.00,0.16500,3.2651493
8.00,47.00,2.60400,3.2651482
8.00,47.00,5.04300,3.2651331
8.00,47.00,7.48600,3.2651331
8.00,47.00,9.91900,3.2651202
8.00,47.00,12.35800,3.2651202
8.00,47.00,14.79700,3.2651159
8.00,47.00,17.23800,3.2651084
8.00,47.00,19.68800,3.2650976
8.00,47.00,22.12600,3.2650911
8.00,47.00,24.56300,3.2650868
8.00,47.00,27.00000,3.2650804
8.00,47.00,29.43100,3.2650674
8.00,47.00,31.86500,3.2650653
8.00,47.00,34.29800,3.2650513
8.00,47.00,36.73700,3.2650545
8.00,47.00,39.17500,3.2650513
8.00,47.00,41.61200,3.2650383
8.00,47.00,44.05300,3.265034
8.00,47.00,46.49200,3.2650254
8.00,47.00,48.92800,3.2650179
8.00,47.00,51.35400,3.2650093
8.00,47.00,53.79500,3.2650017
8.00,47.00,56.23100,3.2649942
8.00,47.00,58.67400,3.2649888
8.00,48.00,1.11900,3.2649877
8.00,48.00,3.55900,3.2649769
8.00,48.00,6.00000,3.2649715
8.00,48.00,8.44100,3.2649662
8.00,48.00,10.87000,3.2649554
8.00,48.00,13.31400,3.2649489
8.00,48.00,15.75200,3.2649403
8.00,48.00,18.19500,3.2649349
8.00,48.00,20.64600,3.2649285
8.00,48.00,23.08600,3.2649295
8.00,48.00,25.53400,3.2649155
8.00,48.00,27.97300,3.2649123
8.00,48.00,30.42100,3.2648983
8.00,48.00,32.85500,3.2648961
8.00,48.00,35.29300,3.2648875
8.00,48.00,37.73200,3.2648821
8.00,48.00,40.17700,3.2648724
8.00,48.00,42.61000,3.2648692
8.00,48.00,45.04100,3.2648617
8.00,48.00,47.46400,3.2648617
8.00,48.00,49.90500,3.264853
8.00,48.00,52.33900,3.2648444
8.00,48.00,54.77800,3.2648401
8.00,48.00,57.21600,3.2648347
8.00,48.00,59.65600,3.264825
8.00,49.00,2.08600,3.2648186
8.00,49.00,4.52700,3.264811
8.00,49.00,6.96600,3.2648046
8.00,49.00,9.40500,3.2648024
8.00,49.00,11.84800,3.2647863
8.00,49.00,14.28700,3.2647766
8.00,49.00,16.72300,3.2647722
8.00,49.00,19.16900,3.2647658
8.00,49.00,21.60800,3.2647572
8.00,49.00,24.04700,3.2647485
8.00,49.00,26.49100,3.2647464
8.00,49.00,28.92200,3.2647324
