h,m,s,voltage
9.0000,46.0000,42.4180,3.2529
9.0000,46.0000,44.8490,3.2529
9.0000,46.0000,47.3020,3.2529
9.0000,46.0000,49.7550,3.2528
9.0000,46.0000,52.1960,3.2528
9.0000,46.0000,54.6310,3.2528
9.0000,46.0000,57.0730,3.2527
9.0000,46.0000,59.5060,3.2527
9.0000,47.0000,1.9470,3.2527
9.0000,47.0000,4.3880,3.2526
9.0000,47.0000,6.8290,3.2526
9.0000,47.0000,9.2530,3.2526
9.0000,47.0000,11.6860,3.2525
9.0000,47.0000,14.1250,3.2525
9.0000,47.0000,16.5550,3.2525
9.0000,47.0000,18.9940,3.2524
9.0000,47.0000,21.4320,3.2524
9.0000,47.0000,23.8710,3.2523
9.0000,47.0000,26.3070,3.2523
9.0000,47.0000,28.7480,3.2523
9.0000,47.0000,31.1930,3.2522
9.0000,47.0000,33.6310,3.2522
9.0000,47.0000,36.0610,3.2522
9.0000,47.0000,38.5040,3.2521
9.0000,47.0000,40.9430,3.2521
9.0000,47.0000,43.3820,3.2521
9.0000,47.0000,45.8250,3.2520
9.0000,47.0000,48.2500,3.2520
9.0000,47.0000,50.6900,3.2520
9.0000,47.0000,53.1320,3.2519
9.0000,47.0000,55.5640,3.2519
9.0000,47.0000,57.9980,3.2518
9.0000,48.0000,0.4360,3.2518
9.0000,48.0000,2.8780,3.2518
9.0000,48.0000,5.3240,3.2517
9.0000,48.0000,7.7700,3.2517
9.0000,48.0000,10.2060,3.2517
9.0000,48.0000,12.6410,3.2516
9.0000,48.0000,15.0810,3.2516
9.0000,48.0000,17.5210,3.2516
9.0000,48.0000,19.9580,3.2515
9.0000,48.0000,22.3990,3.2515
9.0000,48.0000,24.8220,3.2515
9.0000,48.0000,27.2490,3.2514
9.0000,48.0000,29.6960,3.2514
9.0000,48.0000,32.1280,3.2513
9.0000,48.0000,34.5630,3.2513
9.0000,48.0000,37.0000,3.2513
9.0000,48.0000,39.4420,3.2512
9.0000,48.0000,41.8820,3.2512
9.0000,48.0000,44.3120,3.2512
9.0000,48.0000,46.7500,3.2511
9.0000,48.0000,49.1800,3.2511
9.0000,48.0000,51.6260,3.2510
9.0000,48.0000,54.0660,3.2510
9.0000,48.0000,56.5070,3.2510
9.0000,48.0000,58.9470,3.2509
9.0000,49.0000,1.3890,3.2509
9.0000,49.0000,3.8270,3.2509
9.0000,49.0000,6.2650,3.2508
9.0000,49.0000,8.7060,3.2508
9.0000,49.0000,11.1440,3.2507
9.0000,49.0000,13.5790,3.2507
9.0000,49.0000,16.0090,3.2507
9.0000,49.0000,18.4360,3.2506
9.0000,49.0000,20.8740,3.2506
9.0000,49.0000,23.3150,3.2506
9.0000,49.0000,25.7520,3.2505
9.0000,49.0000,28.1910,3.2505
9.0000,49.0000,30.6300,3.2504
9.0000,49.0000,33.0800,3.2504
9.0000,49.0000,35.5190,3.2504
9.0000,49.0000,37.9580,3.2503
9.0000,49.0000,40.3880,3.2503
9.0000,49.0000,42.8270,3.2503
9.0000,49.0000,45.2560,3.2502
9.0000,49.0000,47.6920,3.2502
9.0000,49.0000,50.1160,3.2501
9.0000,49.0000,52.5530,3.2501
9.0000,49.0000,55.0050,3.2501
9.0000,49.0000,57.4530,3.2500
9.0000,49.0000,59.8910,3.2500
9.0000,50.0000,2.3260,3.2499
9.0000,50.0000,4.7780,3.2499
9.0000,50.0000,7.2190,3.2499
9.0000,50.0000,9.6560,3.2498
9.0000,50.0000,12.0900,3.2498
9.0000,50.0000,14.5310,3.2497
9.0000,50.0000,16.9700,3.2497
9.0000,50.0000,19.4030,3.2497
9.0000,50.0000,21.8340,3.2496
