h,m,s,voltage (V)
11,29,31.983,3.4289954
11,29,34.432,3.4290633
11,29,36.86,3.4291225
11,29,39.297,3.4291786
11,29,41.736,3.4292421
11,29,44.175,3.4293014
11,29,46.617,3.429366
11,29,49.055,3.4294199
11,29,51.486,3.4294748
11,29,53.921,3.4295341
11,29,56.363,3.4295901
11,29,58.793,3.4296461
11,30,1.228,3.4297032
11,30,3.672,3.4297603
11,30,6.111,3.4298109
11,30,8.552,3.4298648
11,30,11.008,3.4299122
11,30,13.45,3.4299682
11,30,15.891,3.4300221
11,30,18.329,3.4300673
11,30,20.762,3.430118
11,30,23.201,3.4301718
11,30,25.639,3.4302235
11,30,28.079,3.4302731
11,30,30.52,3.4303259
11,30,32.968,3.4303808
11,30,35.398,3.4304261
11,30,37.832,3.4304767
11,30,40.271,3.430523
11,30,42.724,3.4305704
11,30,45.164,3.4306135
11,30,47.611,3.4306652
11,30,50.042,3.4307094
11,30,52.481,3.4307611
11,30,54.91,3.4308053
11,30,57.341,3.4308505
11,30,59.782,3.4308925
11,31,2.222,3.4309485
11,31,4.671,3.4309906
11,31,7.102,3.4310423
11,31,9.553,3.4310843
11,31,11.99,3.4311349
11,31,14.429,3.4311715
11,31,16.874,3.4312265
11,31,19.315,3.4312685
11,31,21.745,3.431317
11,31,24.186,3.4313633
11,31,26.626,3.4314129
11,31,29.064,3.4314463
11,31,31.498,3.4315044
11,31,33.951,3.4315454
11,31,36.39,3.4315874
11,31,38.83,3.4316402
11,31,41.271,3.4316779
11,31,43.71,3.4317339
11,31,46.14,3.4317759
11,31,48.578,3.431819
11,31,51.017,3.4318632
11,31,53.45,3.431916
11,31,55.893,3.4319494
11,31,58.34,3.4320043
11,32,0.775,3.4320452
11,32,3.205,3.4320916
11,32,5.639,3.4321454
11,32,8.081,3.4321842
11,32,10.52,3.4322316
11,32,12.963,3.4322758
11,32,15.394,3.4323221
11,32,17.828,3.4323738
11,32,20.266,3.4324201
11,32,22.708,3.4324675
11,32,25.153,3.4325106
11,32,27.594,3.4325602
11,32,30.031,3.4326044
11,32,32.47,3.4326528
11,32,34.904,3.4327024
11,32,37.336,3.4327606
11,32,39.772,3.4328015
11,32,42.215,3.4328478
11,32,44.654,3.4328888
11,32,47.107,3.4329405
11,32,49.545,3.4329889
11,32,51.98,3.433032
11,32,54.425,3.4330848
11,32,56.86,3.4331344
11,32,59.316,3.4331861
11,33,1.746,3.4332303
11,33,4.179,3.4332777
11,33,6.628,3.4333272
11,33,9.062,3.4333768
11,33,11.502,3.433422
11,33,13.945,3.4334737
11,33,16.385,3.4335222
11,33,18.821,3.4335728
11,33,21.265,3.4336213
11,33,23.7,3.433673
11,33,26.138,3.4337237
11,33,28.591,3.4337754
11,33,31.033,3.4338228
11,33,33.475,3.4338713
11,33,35.919,3.4339251
11,33,38.367,3.4339768
11,33,40.794,3.4340264
11,33,43.232,3.4340749
11,33,45.671,3.4341298
11,33,48.113,3.4341847
11,33,50.546,3.4342278
11,33,52.977,3.4342817
11,33,55.421,3.4343377
11,33,57.856,3.4343884
11,34,0.3,3.4344368
11,34,2.729,3.4344907
11,34,5.176,3.4345403
11,34,7.606,3.4345973
11,34,10.05,3.4346426
11,34,12.492,3.4346975
11,34,14.949,3.4347514
11,34,17.373,3.4348139
11,34,19.813,3.4348581
11,34,22.251,3.4349162
11,34,24.677,3.4349733
11,34,27.11,3.4350207
11,34,29.557,3.4350811
11,34,31.997,3.435136
11,34,34.432,3.4351888
11,34,36.876,3.435247
11,34,39.323,3.4353008
11,34,41.762,3.4353558
11,34,44.202,3.4354096
11,34,46.642,3.4354646
11,34,49.077,3.4355227
11,34,51.514,3.4355788
11,34,53.964,3.4356359
11,34,56.408,3.4356919
11,34,58.842,3.435749
11,35,1.277,3.4358018
11,35,3.717,3.435861
11,35,6.158,3.4359149
11,35,8.591,3.4359838
11,35,11.03,3.4360334
11,35,13.47,3.436098
11,35,15.91,3.4361583
11,35,18.348,3.4362176
11,35,20.782,3.4362704
11,35,23.22,3.4363307
11,35,25.659,3.4363824
11,35,28.097,3.4364471
11,35,30.528,3.4365052
11,35,32.97,3.4365623
11,35,35.411,3.436628
11,35,37.849,3.4366916
11,35,40.299,3.4367433
11,35,42.732,3.4368101
11,35,45.17,3.4368672
11,35,47.606,3.4369286
11,35,50.04,3.43699
11,35,52.485,3.4370482
11,35,54.914,3.4371128
11,35,57.355,3.4371785
11,35,59.81,3.4372453
11,36,2.247,3.4373057
11,36,4.689,3.4373703
11,36,7.122,3.4374285
11,36,9.566,3.4374953
11,36,12.006,3.4375664
11,36,14.444,3.4376202
11,36,16.889,3.437687
11,36,19.323,3.4377495
11,36,21.754,3.4378152
11,36,24.183,3.4378734
11,36,26.621,3.4379456
11,36,29.065,3.438007
11,36,31.497,3.4380781
11,36,33.937,3.438146
11,36,36.37,3.4382095
11,36,38.812,3.4382731
11,36,41.252,3.4383453
11,36,43.691,3.4384099
11,36,46.124,3.4384778
11,36,48.553,3.4385424
11,36,51.001,3.4386124
11,36,53.436,3.4386857
11,36,55.878,3.4387492
11,36,58.322,3.4388203
11,37,0.756,3.4388904
11,37,3.182,3.4389582
11,37,5.622,3.4390261
11,37,8.072,3.4390994
11,37,10.503,3.4391705
11,37,12.932,3.4392373
11,37,15.374,3.4393105
11,37,17.818,3.4393827
11,37,20.271,3.4394581
11,37,22.71,3.4395227
11,37,25.146,3.439596
11,37,27.585,3.439666
11,37,30.034,3.4397425
11,37,32.483,3.4398115
11,37,34.936,3.4398836
11,37,37.372,3.4399612
11,37,39.804,3.4400312
11,37,42.257,3.4401012
11,37,44.707,3.4401767
11,37,47.138,3.4402564
11,37,49.571,3.4403242
11,37,52.02,3.4404029
11,37,54.457,3.4404794
11,37,56.896,3.4405548
11,37,59.321,3.4406237
11,38,1.769,3.4407045
11,38,4.201,3.4407832
11,38,6.642,3.4408586
11,38,9.068,3.4409415
11,38,11.499,3.4410159
11,38,13.937,3.4410913
11,38,16.382,3.4411721
11,38,18.814,3.4412496
11,38,21.266,3.4413294
11,38,23.702,3.4414155
11,38,26.145,3.441492
11,38,28.577,3.4415761
11,38,31.018,3.4416472
11,38,33.452,3.4417344
11,38,35.891,3.4418131
11,38,38.329,3.4418982
11,38,40.769,3.4419714
11,38,43.218,3.4420555
11,38,45.656,3.4421406
11,38,48.111,3.4422203
11,38,50.534,3.4423043
11,38,52.966,3.4423873
11,38,55.401,3.4424724
11,38,57.84,3.4425553
11,39,0.278,3.4426361
11,39,2.717,3.4427234
11,39,5.17,3.4428128
11,39,7.6,3.4428904
11,39,10.033,3.4429819
11,39,12.466,3.4430714
11,39,14.907,3.4431543
11,39,17.35,3.4432491
11,39,19.799,3.4433277
11,39,22.223,3.4434215
11,39,24.671,3.4435098
11,39,27.112,3.4436025
11,39,29.536,3.443693
11,39,31.967,3.4437824
11,39,34.415,3.4438696
11,39,36.848,3.443959
11,39,39.282,3.4440592
11,39,41.713,3.4441443
11,39,44.162,3.4442348
11,39,46.603,3.4443383
11,39,49.05,3.4444255
11,39,51.489,3.4445235
11,39,53.927,3.4446173
11,39,56.359,3.4447099
11,39,58.796,3.4448004
11,40,1.234,3.4448952
11,40,3.674,3.4449889
11,40,6.111,3.445088
11,40,8.556,3.4451861
11,40,10.99,3.4452852
11,40,13.423,3.4453821
11,40,15.861,3.4454845
11,40,18.293,3.4455804
11,40,20.724,3.4456773
11,40,23.159,3.4457786
11,40,25.593,3.445882
11,40,28.032,3.4459811
11,40,30.473,3.4460824
11,40,32.914,3.446188
11,40,35.361,3.4462957
11,40,37.793,3.4463937
11,40,40.23,3.4464971
11,40,42.668,3.4466016
11,40,45.109,3.4467061
11,40,47.546,3.446815
11,40,49.988,3.4469259
11,40,52.428,3.4470293
11,40,54.871,3.4471295
11,40,57.31,3.4472448
11,40,59.752,3.4473536
11,41,2.192,3.4474613
11,41,4.634,3.4475734
11,41,7.063,3.4476854
11,41,9.501,3.4477985
11,41,11.942,3.4479116
11,41,14.376,3.4480215
11,41,16.806,3.4481379
11,41,19.255,3.4482521
11,41,21.695,3.4483673
11,41,24.132,3.4484837
11,41,26.572,3.4486033
11,41,29.014,3.4487164
11,41,31.457,3.4488295
11,41,33.891,3.4489469
11,41,36.329,3.4490687
11,41,38.78,3.4491796
11,41,41.216,3.44931
11,41,43.656,3.4494274
11,41,46.099,3.4495491
11,41,48.538,3.4496773
11,41,50.983,3.4497969
11,41,53.419,3.449924
11,41,55.858,3.4500425
11,41,58.293,3.4501696
11,42,0.727,3.4502914
11,42,3.17,3.4504217
11,42,5.602,3.4505445
11,42,8.032,3.4506792
11,42,10.465,3.4508053
11,42,12.894,3.4509464
11,42,15.332,3.4510627
11,42,17.771,3.4512017
11,42,20.212,3.4513342
11,42,22.661,3.4514721
11,42,25.089,3.4515981
11,42,27.521,3.4517371
11,42,29.953,3.4518707
11,42,32.394,3.4520107
11,42,34.823,3.4521529
11,42,37.273,3.4522941
11,42,39.705,3.4524341
11,42,42.143,3.4525763
11,42,44.592,3.4527175
11,42,47.032,3.4528586
11,42,49.468,3.4530094
11,42,51.902,3.4531538
11,42,54.344,3.4533024
11,42,56.79,3.45345
11,42,59.222,3.4535922
11,43,1.661,3.4537398
11,43,4.091,3.4538895
11,43,6.535,3.4540458
11,43,8.973,3.4541987
11,43,11.422,3.4543506
11,43,13.863,3.4545079
11,43,16.301,3.4546566
11,43,18.727,3.4548149
11,43,21.173,3.4549712
11,43,23.613,3.4551435
11,43,26.042,3.4552965
11,43,28.493,3.4554613
11,43,30.925,3.4556111
11,43,33.357,3.4557867
11,43,35.796,3.4559536
11,43,38.226,3.4561228
11,43,40.676,3.4562951
11,43,43.11,3.4564675
11,43,45.548,3.4566377
11,43,47.986,3.4568047
11,43,50.427,3.4569814
11,43,52.861,3.4571548
11,43,55.308,3.4573315
11,43,57.742,3.4575093
11,44,0.183,3.4576859
11,44,2.617,3.4578658
11,44,5.056,3.4580598
11,44,7.495,3.4582429
11,44,9.95,3.4584282
11,44,12.386,3.4586156
11,44,14.823,3.4588052
11,44,17.263,3.458997
11,44,19.701,3.4591866
11,44,22.141,3.459387
11,44,24.582,3.4595841
11,44,27.013,3.4597716
11,44,29.451,3.459972
11,44,31.889,3.4601723
11,44,34.321,3.4603729
11,44,36.761,3.4605819
11,44,39.196,3.4607855
11,44,41.637,3.4609913
11,44,44.078,3.4612057
11,44,46.515,3.4614265
11,44,48.963,3.4616366
11,44,51.412,3.4618563
11,44,53.845,3.4620675
11,44,56.271,3.4622948
11,44,58.709,3.4625167
11,45,1.142,3.4627494
11,45,3.581,3.4629746
11,45,6.018,3.4632008
11,45,8.458,3.46344
11,45,10.905,3.4636727
11,45,13.344,3.4639151
11,45,15.782,3.4641488
11,45,18.222,3.4643923
11,45,20.645,3.464639
11,45,23.079,3.4648922
11,45,25.518,3.4651399
11,45,27.96,3.4653942
11,45,30.412,3.4656484
11,45,32.849,3.4659113
11,45,35.292,3.4661688
11,45,37.737,3.4664381
11,45,40.169,3.466702
11,45,42.611,3.4669724
11,45,45.046,3.467245
11,45,47.478,3.4675262
11,45,49.93,3.4678095
11,45,52.379,3.4680853
11,45,54.824,3.4683783
11,45,57.26,3.4686724
11,45,59.702,3.4689643
11,46,2.143,3.4692584
11,46,4.582,3.4695622
11,46,7.023,3.4698725
11,46,9.473,3.4701817
11,46,11.902,3.4704941
11,46,14.342,3.4708054
11,46,16.78,3.4711308
11,46,19.219,3.4714583
11,46,21.66,3.4717922
11,46,24.088,3.4721219
11,46,26.535,3.4724731
11,46,28.975,3.4728232
11,46,31.425,3.4731679
11,46,33.859,3.4735235
11,46,36.29,3.4738822
11,46,38.729,3.4742452
11,46,41.163,3.4746191
11,46,43.602,3.4749983
11,46,46.036,3.4753764
11,46,48.487,3.4757707
11,46,50.924,3.4761661
11,46,53.361,3.476569
11,46,55.795,3.476973
11,46,58.229,3.4773845
11,47,0.667,3.47781
11,47,3.1,3.4782355
11,47,5.538,3.4786708
11,47,7.977,3.4791114
11,47,10.418,3.4795617
11,47,12.849,3.480026
11,47,15.283,3.4804892
11,47,17.716,3.4809643
11,47,20.152,3.4814491
11,47,22.591,3.4819382
11,47,25.026,3.4824488
11,47,27.469,3.4829627
11,47,29.91,3.4834874
11,47,32.348,3.4840325
11,47,34.779,3.4845711
11,47,37.219,3.4851248
11,47,39.66,3.4857012
11,47,42.092,3.4862905
11,47,44.542,3.4868938
11,47,46.981,3.4875046
11,47,49.412,3.4881327
11,47,51.855,3.4887833
11,47,54.293,3.4894308
11,47,56.73,3.4901127
11,47,59.176,3.4908119
11,48,1.609,3.4915186
11,48,4.047,3.4922479
11,48,6.487,3.4929999
11,48,8.917,3.4937723
11,48,11.354,3.494577
11,48,13.795,3.4953958
11,48,16.238,3.4962339
11,48,18.662,3.4971022
11,48,21.095,3.4979985
11,48,23.532,3.4989261
11,48,25.972,3.4998838
11,48,28.409,3.500876
11,48,30.843,3.5019016
11,48,33.28,3.5029692
11,48,35.719,3.5040669
11,48,38.154,3.5052132
11,48,40.593,3.506396
11,48,43.026,3.5076382
11,48,45.475,3.5089374
11,48,47.903,3.5102797
11,48,50.341,3.5116931
11,48,52.781,3.5131614
11,48,55.214,3.5147052
11,48,57.655,3.516319
11,49,0.096,3.5180265
11,49,2.536,3.5198137
11,49,4.975,3.5216958
11,49,7.413,3.5236963
11,49,9.848,3.5257981
11,49,12.286,3.5280292
11,49,14.716,3.5290763
11,49,17.148,3.5299608
11,49,19.585,3.530897
11,49,22.018,3.5318935
11,49,24.458,3.5330946
11,49,26.887,3.5341536
11,49,29.321,3.5350736
11,49,31.771,3.5362166
11,49,34.209,3.5372056
11,49,36.647,3.5384369
11,49,39.083,3.5396834
11,49,41.514,3.5408178
11,49,43.951,3.5420146
11,49,46.393,3.5433085
11,49,48.833,3.5445581
11,49,51.274,3.5456828
11,49,53.712,3.5470025
11,49,56.17,3.5480949
11,49,58.612,3.5494415
11,50,1.047,3.5506438
11,50,3.484,3.5518288
11,50,5.923,3.553156
11,50,8.357,3.5544757
11,50,10.791,3.5555735
11,50,13.221,3.5567488
11,50,15.658,3.5578369
11,50,18.097,3.559163
11,50,20.534,3.5603728
11,50,22.974,3.5615826
11,50,25.422,3.5627461
11,50,27.876,3.5638202
11,50,30.309,3.5651022
11,50,32.734,3.5661207
11,50,35.17,3.5671215
11,50,37.615,3.5681503
11,50,40.065,3.5693397
11,50,42.507,3.570097
11,50,44.94,3.5710062
11,50,47.376,3.5719101
11,50,49.82,3.5728829
11,50,52.274,3.573902
11,50,54.724,3.5749998
11,50,57.151,3.5757614
11,50,59.583,3.5766717
11,51,2.036,3.5774301
11,51,4.46,3.5782144
11,51,6.893,3.5790256
11,51,9.331,3.5799963
11,51,11.772,3.5806006
11,51,14.205,3.5814495
11,51,16.639,3.5820744
11,51,19.072,3.5827628
11,51,21.513,3.5835416
11,51,23.948,3.584188
11,51,26.391,3.5848818
11,51,28.833,3.5855939
11,51,31.282,3.5863124
11,51,33.722,3.5868953
11,51,36.158,3.5874673
11,51,38.599,3.5880943
11,51,41.037,3.5885521
11,51,43.478,3.5892158
11,51,45.915,3.5897145
11,51,48.359,3.5902198
11,51,50.809,3.5907057
11,51,53.248,3.5913197
11,51,55.681,3.5917345
11,51,58.125,3.5922623
11,52,0.567,3.5926426
11,52,2.995,3.5929809
11,52,5.436,3.5935508
11,52,7.874,3.5939138
11,52,10.314,3.5942166
11,52,12.751,3.5945774
11,52,15.191,3.5949523
11,52,17.626,3.5953229
11,52,20.065,3.5957032
11,52,22.501,3.5959801
11,52,24.937,3.5963205
11,52,27.374,3.596606
11,52,29.806,3.5968312
11,52,32.249,3.5970186
11,52,34.699,3.5972836
11,52,37.133,3.5976208
11,52,39.566,3.5977652
11,52,42.009,3.5978201
11,52,44.439,3.598125
11,52,46.879,3.5983307
11,52,49.309,3.5986485
11,52,51.748,3.5989534
11,52,54.18,3.599017
11,52,56.612,3.5991258
11,52,59.043,3.5991484
11,53,1.481,3.5995546
11,53,3.916,3.5996709
11,53,6.359,3.600132
