h,m,s,voltage (V)
10,56,56.137,3.3160375
10,56,58.562,3.3162616
10,57,1,3.3164878
10,57,3.439,3.3167205
10,57,5.877,3.3169532
10,57,8.313,3.3171934
10,57,10.747,3.3174315
10,57,13.18,3.3176804
10,57,15.62,3.3179238
10,57,18.053,3.3181781
10,57,20.49,3.3184334
10,57,22.928,3.3187038
10,57,25.369,3.3189623
10,57,27.818,3.3192306
10,57,30.256,3.3194999
10,57,32.689,3.3197714
10,57,35.126,3.3200633
10,57,37.551,3.3203413
10,57,39.989,3.3206246
10,57,42.433,3.3209176
10,57,44.872,3.321216
10,57,47.311,3.3215177
10,57,49.75,3.3218236
10,57,52.194,3.3221274
10,57,54.643,3.3224496
10,57,57.089,3.3227663
10,57,59.527,3.3230852
10,58,1.955,3.3234127
10,58,4.395,3.3237423
10,58,6.839,3.3240849
10,58,9.283,3.3244221
10,58,11.714,3.32477
10,58,14.143,3.3251115
10,58,16.578,3.3254627
10,58,19.015,3.3258107
10,58,21.464,3.3261781
10,58,23.9,3.3265357
10,58,26.345,3.3269085
10,58,28.783,3.3272823
10,58,31.217,3.3276518
10,58,33.657,3.328031
10,58,36.091,3.3284188
10,58,38.532,3.3287991
10,58,40.976,3.329188
10,58,43.407,3.329578
10,58,45.845,3.3299777
10,58,48.287,3.3303687
10,58,50.723,3.330776
10,58,53.152,3.3311767
10,58,55.59,3.3315732
10,58,58.034,3.3319836
10,59,0.464,3.3324016
10,59,2.904,3.3328164
10,59,5.342,3.3332225
10,59,7.792,3.3336426
10,59,10.226,3.3340585
10,59,12.664,3.3344872
10,59,15.103,3.3349052
10,59,17.549,3.3353275
10,59,19.99,3.3357498
10,59,22.427,3.3361786
10,59,24.865,3.3366063
10,59,27.314,3.3370415
10,59,29.754,3.3374638
10,59,32.194,3.3378947
10,59,34.624,3.3383289
10,59,37.074,3.3387533
10,59,39.503,3.3391896
10,59,41.941,3.3396173
10,59,44.376,3.340045
10,59,46.815,3.3404824
10,59,49.255,3.3409176
10,59,51.686,3.3413453
10,59,54.126,3.3417762
10,59,56.565,3.3422104
10,59,58.999,3.3426424
11,0,1.437,3.3430754
11,0,3.876,3.343501
11,0,6.314,3.343933
11,0,8.749,3.3443585
11,0,11.178,3.3447916
11,0,13.607,3.3452117
11,0,16.046,3.3456372
11,0,18.498,3.3460649
11,0,20.939,3.3464926
11,0,23.378,3.3469182
11,0,25.816,3.3473308
11,0,28.255,3.3477595
11,0,30.697,3.3481775
11,0,33.135,3.348589
11,0,35.566,3.3489995
11,0,38.014,3.3494078
11,0,40.453,3.3498204
11,0,42.907,3.3502384
11,0,45.331,3.3506424
11,0,47.769,3.3510431
11,0,50.209,3.3514428
11,0,52.647,3.3518457
11,0,55.087,3.3522443
11,0,57.519,3.3526321
11,0,59.959,3.3530286
11,1,2.399,3.3534207
11,1,4.844,3.3538107
11,1,7.282,3.3541996
11,1,9.722,3.3545756
11,1,12.149,3.3549559
11,1,14.584,3.3553372
11,1,17.026,3.3557027
11,1,19.476,3.3560776
11,1,21.915,3.3564471
11,1,24.356,3.3568145
11,1,26.789,3.3571754
11,1,29.227,3.357532
11,1,31.678,3.3578853
11,1,34.11,3.3582354
11,1,36.559,3.3585813
11,1,39.001,3.358926
11,1,41.441,3.3592718
11,1,43.881,3.3596068
11,1,46.317,3.359944
11,1,48.767,3.3602715
11,1,51.195,3.3606023
11,1,53.626,3.3609254
11,1,56.065,3.3612465
11,1,58.505,3.3615707
11,2,0.965,3.3618875
11,2,3.422,3.3622107
11,2,5.861,3.3625231
11,2,8.301,3.3628312
11,2,10.727,3.3631393
11,2,13.153,3.3634452
11,2,15.59,3.3637436
11,2,18.039,3.3640442
11,2,20.463,3.3643502
11,2,22.896,3.3646561
11,2,25.35,3.3649588
11,2,27.789,3.3652572
11,2,30.222,3.3655557
11,2,32.663,3.3658595
11,2,35.12,3.3661546
11,2,37.562,3.3664574
11,2,40.01,3.3667558
11,2,42.45,3.3670585
11,2,44.889,3.3673526
11,2,47.329,3.3676532
11,2,49.767,3.3679516
11,2,52.208,3.3682511
11,2,54.65,3.3685527
11,2,57.089,3.3688554
11,2,59.545,3.3691495
11,3,1.981,3.3694468
11,3,4.434,3.3697506
11,3,6.865,3.3700544
11,3,9.293,3.3703615
11,3,11.736,3.3706642
11,3,14.177,3.3709691
11,3,16.608,3.3712729
11,3,19.043,3.371581
11,3,21.477,3.3718912
11,3,23.917,3.3721972
11,3,26.355,3.3724999
11,3,28.809,3.3728145
11,3,31.248,3.373128
11,3,33.679,3.3734339
11,3,36.111,3.3737431
11,3,38.544,3.3740544
11,3,40.989,3.3743625
11,3,43.428,3.3746782
11,3,45.876,3.3749928
11,3,48.32,3.3753052
11,3,50.759,3.3756133
11,3,53.198,3.3759203
11,3,55.642,3.3762317
11,3,58.077,3.3765355
11,4,0.519,3.3768436
11,4,2.953,3.3771571
11,4,5.391,3.3774565
11,4,7.832,3.3777646
11,4,10.266,3.3780674
11,4,12.709,3.378369
11,4,15.14,3.3786663
11,4,17.598,3.3789648
11,4,20.038,3.3792589
11,4,22.48,3.379554
11,4,24.921,3.3798374
11,4,27.359,3.3801282
11,4,29.794,3.3804083
11,4,32.239,3.3806938
11,4,34.67,3.380975
11,4,37.115,3.3812465
11,4,39.545,3.3815147
11,4,41.988,3.3817862
11,4,44.43,3.3820469
11,4,46.877,3.3823044
11,4,49.319,3.3825651
11,4,51.756,3.382815
11,4,54.195,3.3830692
11,4,56.634,3.3833095
11,4,59.075,3.383554
11,5,1.521,3.3837921
11,5,3.957,3.3840227
11,5,6.386,3.38425
11,5,8.828,3.3844837
11,5,11.266,3.3847057
11,5,13.696,3.3849265
11,5,16.13,3.3851441
11,5,18.577,3.3853585
11,5,21.026,3.3855686
11,5,23.466,3.38577
11,5,25.904,3.3859747
11,5,28.358,3.3861772
11,5,30.798,3.3863755
11,5,33.238,3.3865705
11,5,35.677,3.3867547
11,5,38.115,3.3869507
11,5,40.561,3.3871328
11,5,42.998,3.3873159
11,5,45.429,3.3875002
11,5,47.863,3.3876779
11,5,50.3,3.3878557
11,5,52.741,3.3880302
11,5,55.188,3.3881993
11,5,57.642,3.3883749
11,6,0.089,3.3885505
11,6,2.532,3.3887197
11,6,4.962,3.3888866
11,6,7.384,3.3890461
11,6,9.821,3.3892055
11,6,12.257,3.389366
11,6,14.696,3.3895222
11,6,17.137,3.3896763
11,6,19.569,3.3898314
11,6,22.019,3.3899855
11,6,24.45,3.3901341
11,6,26.891,3.3902893
11,6,29.327,3.3904423
11,6,31.768,3.3905855
11,6,34.198,3.3907331
11,6,36.646,3.3908775
11,6,39.074,3.3910197
11,6,41.515,3.3911619
11,6,43.955,3.3913062
