h,m,s,voltage
12,18,57.533,3.5923
12,18,59.975,3.5914
12,19,2.415,3.5906
12,19,4.849,3.5897
12,19,7.297,3.5888
12,19,9.728,3.5880
12,19,12.178,3.5871
12,19,14.616,3.5863
12,19,17.059,3.5855
12,19,19.498,3.5847
12,19,21.943,3.5838
12,19,24.38,3.5830
12,19,26.809,3.5822
12,19,29.251,3.5582
12,19,31.691,3.4005
12,19,34.129,3.3494
12,19,36.57,3.3194
12,19,39.007,3.2989
12,19,41.448,3.2844
12,19,43.886,3.2738
12,19,46.326,3.2660
12,19,48.758,3.2602
12,19,51.193,3.2558
12,19,53.621,3.2526
12,19,56.06,3.2503
12,19,58.516,3.2487
12,20,0.949,3.2475
12,20,3.385,3.2466
12,20,5.824,3.2460
12,20,8.278,3.2455
12,20,10.723,3.2451
12,20,13.147,3.2449
12,20,15.589,3.2446
12,20,18.028,3.2445
12,20,20.461,3.2443
12,20,22.894,3.2442
12,20,25.33,3.2440
12,20,27.767,3.2440
12,20,30.216,3.2439
12,20,32.647,3.2438
12,20,35.079,3.2437
12,20,37.518,3.2436
12,20,39.957,3.2436
12,20,42.387,3.2435
12,20,44.826,3.2435
12,20,47.257,3.2434
12,20,49.688,3.2434
12,20,52.122,3.2433
12,20,54.564,3.2433
12,20,57.003,3.2432
12,20,59.45,3.2432
12,21,1.889,3.2431
12,21,4.328,3.2431
12,21,6.758,3.2430
12,21,9.196,3.2430
12,21,11.634,3.2429
12,21,14.084,3.2429
12,21,16.532,3.2428
12,21,18.971,3.2428
12,21,21.411,3.2427
12,21,23.845,3.2427
12,21,26.283,3.2427
12,21,28.719,3.2426
12,21,31.152,3.2426
12,21,33.585,3.2425
12,21,36.024,3.2425
12,21,38.474,3.2424
12,21,40.914,3.2424
12,21,43.364,3.2424
12,21,45.808,3.2423
12,21,48.238,3.2423
12,21,50.667,3.2422
12,21,53.104,3.2422
12,21,55.548,3.2421
12,21,57.983,3.2421
12,22,0.434,3.2421
12,22,2.868,3.2420
12,22,5.301,3.2420
12,22,7.74,3.2419
12,22,10.181,3.2419
12,22,12.639,3.2419
12,22,15.07,3.2418
12,22,17.495,3.2418
12,22,19.933,3.2417
12,22,22.383,3.2417
12,22,24.816,3.2417
12,22,27.255,3.2416
12,22,29.693,3.2416
12,22,32.124,3.2416
12,22,34.561,3.2415
12,22,37.002,3.2415
12,22,39.437,3.2414
12,22,41.877,3.2414
12,22,44.318,3.2414
12,22,46.769,3.2413
12,22,49.211,3.2413
12,22,51.653,3.2413
12,22,54.088,3.2412
12,22,56.52,3.2412
12,22,58.959,3.2411
12,23,1.396,3.2411
12,23,3.838,3.2411
12,23,6.277,3.2410
12,23,8.71,3.2410
12,23,11.145,3.2409
12,23,13.585,3.2409
12,23,16.022,3.2409
12,23,18.46,3.2408
12,23,20.9,3.2408
12,23,23.347,3.2408
12,23,25.783,3.2407
12,23,28.213,3.2407
12,23,30.653,3.2407
12,23,33.086,3.2406
12,23,35.544,3.2406
12,23,37.982,3.2406
12,23,40.435,3.2405
12,23,42.879,3.2405
12,23,45.322,3.2405
12,23,47.759,3.2404
12,23,50.203,3.2404
12,23,52.638,3.2404
12,23,55.086,3.2403
12,23,57.524,3.2403
12,23,59.964,3.2402
12,24,2.405,3.2402
12,24,4.841,3.2402
12,24,7.286,3.2401
12,24,9.725,3.2401
12,24,12.155,3.2401
12,24,14.597,3.2400
12,24,17.035,3.2400
12,24,19.474,3.2400
12,24,21.905,3.2399
12,24,24.349,3.2399
12,24,26.793,3.2398
12,24,29.243,3.2398
12,24,31.676,3.2398
12,24,34.117,3.2397
12,24,36.567,3.2397
12,24,39.001,3.2397
12,24,41.442,3.2396
12,24,43.876,3.2396
12,24,46.316,3.2396
12,24,48.744,3.2395
12,24,51.175,3.2395
12,24,53.614,3.2395
12,24,56.053,3.2394
12,24,58.49,3.2394
12,25,0.925,3.2394
12,25,3.365,3.2393
12,25,5.815,3.2393
12,25,8.255,3.2392
12,25,10.698,3.2392
12,25,13.129,3.2392
12,25,15.591,3.2391
12,25,18.028,3.2391
12,25,20.466,3.2391
12,25,22.905,3.2390
12,25,25.345,3.2390
12,25,27.782,3.2390
12,25,30.222,3.2389
12,25,32.662,3.2389
12,25,35.095,3.2389
12,25,37.536,3.2388
12,25,39.974,3.2388
12,25,42.412,3.2388
12,25,44.862,3.2387
12,25,47.291,3.2387
12,25,49.732,3.2386
12,25,52.172,3.2386
12,25,54.608,3.2386
12,25,57.057,3.2385
12,25,59.497,3.2385
12,26,1.935,3.2385
12,26,4.372,3.2384
12,26,6.812,3.2384
12,26,9.249,3.2384
12,26,11.691,3.2383
12,26,14.131,3.2383
12,26,16.571,3.2382
12,26,19.005,3.2382
12,26,21.44,3.2382
12,26,23.873,3.2381
12,26,26.303,3.2381
12,26,28.737,3.2381
12,26,31.174,3.2380
12,26,33.597,3.2380
12,26,36.034,3.2379
12,26,38.474,3.2379
12,26,40.906,3.2379
12,26,43.347,3.2378
12,26,45.784,3.2378
12,26,48.223,3.2378
12,26,50.663,3.2377
12,26,53.103,3.2377
12,26,55.55,3.2376
12,26,57.994,3.2376
12,27,0.434,3.2376
12,27,2.868,3.2375
12,27,5.308,3.2375
12,27,7.739,3.2375
12,27,10.177,3.2374
12,27,12.616,3.2374
12,27,15.058,3.2373
12,27,17.505,3.2373
12,27,19.944,3.2373
12,27,22.378,3.2372
12,27,24.814,3.2372
12,27,27.246,3.2371
12,27,29.686,3.2371
12,27,32.123,3.2371
12,27,34.568,3.2370
12,27,37.019,3.2370
12,27,39.453,3.2369
12,27,41.893,3.2369
12,27,44.328,3.2369
12,27,46.759,3.2368
12,27,49.202,3.2368
12,27,51.642,3.2367
12,27,54.077,3.2367
12,27,56.516,3.2366
12,27,58.953,3.2366
12,28,1.384,3.2366
12,28,3.834,3.2365
12,28,6.274,3.2365
12,28,8.733,3.2365
12,28,11.171,3.2364
12,28,13.613,3.2364
12,28,16.057,3.2363
12,28,18.488,3.2363
12,28,20.933,3.2362
12,28,23.388,3.2362
12,28,25.835,3.2362
12,28,28.268,3.2361
12,28,30.708,3.2361
12,28,33.147,3.2360
12,28,35.578,3.2360
12,28,38.009,3.2359
12,28,40.444,3.2359
12,28,42.89,3.2358
12,28,45.33,3.2358
12,28,47.772,3.2358
12,28,50.204,3.2357
12,28,52.641,3.2357
12,28,55.085,3.2356
12,28,57.517,3.2356
12,28,59.942,3.2355
12,29,2.384,3.2355
12,29,4.812,3.2355
12,29,7.244,3.2354
12,29,9.685,3.2354
12,29,12.115,3.2353
12,29,14.556,3.2353
12,29,16.994,3.2352
12,29,19.434,3.2352
12,29,21.867,3.2351
12,29,24.291,3.2351
12,29,26.726,3.2351
12,29,29.16,3.2350
12,29,31.599,3.2350
12,29,34.048,3.2349
12,29,36.492,3.2349
12,29,38.935,3.2348
12,29,41.374,3.2348
12,29,43.826,3.2347
12,29,46.271,3.2347
12,29,48.709,3.2346
12,29,51.147,3.2346
12,29,53.582,3.2345
12,29,56.017,3.2345
12,29,58.455,3.2344
12,30,0.89,3.2344
12,30,3.319,3.2343
12,30,5.767,3.2343
12,30,8.205,3.2342
12,30,10.654,3.2342
12,30,13.086,3.2341
12,30,15.533,3.2341
12,30,17.967,3.2340
12,30,20.41,3.2340
12,30,22.856,3.2339
12,30,25.303,3.2339
12,30,27.745,3.2338
12,30,30.18,3.2338
12,30,32.616,3.2337
12,30,35.056,3.2337
12,30,37.494,3.2336
12,30,39.934,3.2336
12,30,42.375,3.2335
12,30,44.809,3.2335
12,30,47.24,3.2334
12,30,49.691,3.2334
12,30,52.127,3.2333
12,30,54.558,3.2333
12,30,56.992,3.2332
12,30,59.426,3.2332
12,31,1.856,3.2331
12,31,4.299,3.2331
12,31,6.735,3.2330
12,31,9.183,3.2330
12,31,11.626,3.2329
12,31,14.067,3.2328
12,31,16.504,3.2328
12,31,18.944,3.2327
12,31,21.382,3.2327
12,31,23.814,3.2326
12,31,26.247,3.2326
12,31,28.693,3.2325
12,31,31.122,3.2324
12,31,33.555,3.2324
12,31,36.005,3.2323
12,31,38.446,3.2323
12,31,40.879,3.2322
12,31,43.314,3.2322
12,31,45.752,3.2321
12,31,48.194,3.2320
12,31,50.632,3.2320
12,31,53.073,3.2319
12,31,55.499,3.2319
12,31,57.944,3.2318
12,32,0.378,3.2318
12,32,2.814,3.2317
12,32,5.257,3.2316
12,32,7.695,3.2316
12,32,10.133,3.2315
12,32,12.574,3.2314
12,32,15.011,3.2314
12,32,17.453,3.2313
12,32,19.892,3.2313
12,32,22.334,3.2312
12,32,24.767,3.2311
12,32,27.202,3.2311
12,32,29.64,3.2310
12,32,32.071,3.2310
12,32,34.519,3.2309
12,32,36.96,3.2308
12,32,39.399,3.2308
12,32,41.841,3.2307
12,32,44.283,3.2306
12,32,46.723,3.2306
12,32,49.157,3.2305
12,32,51.594,3.2304
12,32,54.027,3.2304
12,32,56.456,3.2303
12,32,58.895,3.2302
12,33,1.334,3.2302
12,33,3.781,3.2301
12,33,6.221,3.2300
12,33,8.662,3.2300
12,33,11.097,3.2299
12,33,13.527,3.2298
12,33,15.966,3.2298
12,33,18.404,3.2297
12,33,20.842,3.2296
12,33,23.282,3.2296
12,33,25.726,3.2295
12,33,28.167,3.2294
12,33,30.606,3.2293
12,33,33.034,3.2293
12,33,35.46,3.2292
12,33,37.884,3.2291
12,33,40.341,3.2291
12,33,42.778,3.2290
12,33,45.217,3.2289
12,33,47.651,3.2288
12,33,50.11,3.2288
12,33,52.549,3.2287
12,33,54.989,3.2286
12,33,57.418,3.2285
12,33,59.86,3.2285
12,34,2.289,3.2284
12,34,4.724,3.2283
12,34,7.162,3.2282
12,34,9.596,3.2282
12,34,12.027,3.2281
12,34,14.466,3.2280
12,34,16.898,3.2279
12,34,19.358,3.2279
12,34,21.8,3.2278
12,34,24.233,3.2277
12,34,26.663,3.2276
12,34,29.1,3.2275
12,34,31.545,3.2275
12,34,33.987,3.2274
12,34,36.427,3.2273
12,34,38.868,3.2272
12,34,41.308,3.2271
12,34,43.739,3.2271
12,34,46.177,3.2270
12,34,48.607,3.2269
12,34,51.041,3.2268
12,34,53.473,3.2267
12,34,55.907,3.2266
12,34,58.349,3.2266
12,35,0.784,3.2265
12,35,3.22,3.2264
12,35,5.661,3.2263
12,35,8.096,3.2262
12,35,10.537,3.2261
12,35,12.994,3.2260
12,35,15.434,3.2260
12,35,17.875,3.2259
12,35,20.314,3.2258
12,35,22.739,3.2257
12,35,25.171,3.2256
12,35,27.611,3.2255
12,35,30.05,3.2254
12,35,32.482,3.2253
12,35,34.911,3.2252
12,35,37.349,3.2252
12,35,39.787,3.2251
12,35,42.22,3.2250
12,35,44.645,3.2249
12,35,47.083,3.2248
12,35,49.514,3.2247
12,35,51.954,3.2246
12,35,54.395,3.2245
12,35,56.829,3.2244
12,35,59.254,3.2243
12,36,1.695,3.2242
12,36,4.134,3.2241
12,36,6.565,3.2240
12,36,9.004,3.2239
12,36,11.452,3.2238
12,36,13.891,3.2237
12,36,16.333,3.2236
12,36,18.758,3.2235
12,36,21.194,3.2234
12,36,23.627,3.2233
12,36,26.069,3.2232
12,36,28.502,3.2231
12,36,30.939,3.2230
12,36,33.378,3.2230
12,36,35.818,3.2228
12,36,38.256,3.2228
12,36,40.7,3.2226
12,36,43.147,3.2225
12,36,45.579,3.2224
12,36,48.018,3.2223
12,36,50.458,3.2222
12,36,52.902,3.2221
12,36,55.338,3.2220
12,36,57.772,3.2219
12,37,0.202,3.2218
12,37,2.633,3.2217
12,37,5.072,3.2216
12,37,7.512,3.2215
12,37,9.946,3.2214
12,37,12.387,3.2213
12,37,14.817,3.2212
12,37,17.255,3.2211
12,37,19.705,3.2210
12,37,22.145,3.2209
12,37,24.585,3.2207
12,37,27.035,3.2206
12,37,29.468,3.2205
12,37,31.908,3.2204
12,37,34.347,3.2203
12,37,36.786,3.2202
12,37,39.22,3.2201
12,37,41.651,3.2200
12,37,44.089,3.2199
12,37,46.531,3.2198
12,37,48.97,3.2197
12,37,51.409,3.2195
12,37,53.842,3.2194
12,37,56.275,3.2193
12,37,58.701,3.2192
12,38,1.145,3.2191
12,38,3.58,3.2190
12,38,6.013,3.2189
12,38,8.446,3.2188
12,38,10.886,3.2186
12,38,13.326,3.2185
12,38,15.767,3.2184
12,38,18.198,3.2183
12,38,20.629,3.2182
12,38,23.079,3.2181
12,38,25.52,3.2180
12,38,27.952,3.2179
12,38,30.392,3.2177
12,38,32.834,3.2176
12,38,35.292,3.2175
12,38,37.733,3.2174
12,38,40.178,3.2173
12,38,42.608,3.2172
12,38,45.042,3.2171
12,38,47.493,3.2169
12,38,49.926,3.2168
12,38,52.374,3.2167
12,38,54.818,3.2166
12,38,57.245,3.2165
12,38,59.674,3.2164
12,39,2.107,3.2163
12,39,4.555,3.2161
12,39,6.99,3.2160
12,39,9.439,3.2159
12,39,11.872,3.2158
12,39,14.312,3.2157
12,39,16.739,3.2156
12,39,19.175,3.2155
12,39,21.615,3.2154
12,39,24.046,3.2152
12,39,26.477,3.2151
12,39,28.926,3.2150
12,39,31.375,3.2149
12,39,33.817,3.2148
12,39,36.255,3.2147
12,39,38.695,3.2146
12,39,41.127,3.2144
12,39,43.559,3.2143
12,39,46.004,3.2142
12,39,48.433,3.2141
12,39,50.881,3.2140
12,39,53.312,3.2139
12,39,55.741,3.2138
12,39,58.178,3.2137
12,40,0.604,3.2136
12,40,3.035,3.2134
12,40,5.474,3.2133
12,40,7.931,3.2132
12,40,10.379,3.2131
12,40,12.819,3.2130
12,40,15.253,3.2129
12,40,17.695,3.2128
12,40,20.132,3.2127
12,40,22.572,3.2126
12,40,25.011,3.2125
12,40,27.442,3.2124
12,40,29.881,3.2123
12,40,32.31,3.2122
12,40,34.745,3.2120
12,40,37.189,3.2119
12,40,39.618,3.2118
12,40,42.067,3.2117
12,40,44.5,3.2116
12,40,46.945,3.2115
12,40,49.377,3.2114
12,40,51.818,3.2113
12,40,54.251,3.2112
12,40,56.686,3.2111
12,40,59.114,3.2110
12,41,1.552,3.2109
12,41,3.994,3.2108
12,41,6.428,3.2107
12,41,8.868,3.2106
12,41,11.301,3.2105
12,41,13.735,3.2104
12,41,16.169,3.2103
12,41,18.611,3.2102
12,41,21.046,3.2101
12,41,23.47,3.2100
12,41,25.899,3.2099
12,41,28.337,3.2098
12,41,30.766,3.2097
12,41,33.225,3.2096
12,41,35.665,3.2095
12,41,38.097,3.2094
12,41,40.533,3.2093
12,41,42.976,3.2092
12,41,45.424,3.2091
12,41,47.864,3.2090
12,41,50.296,3.2089
12,41,52.73,3.2088
12,41,55.167,3.2087
12,41,57.62,3.2086
12,42,0.064,3.2086
12,42,2.502,3.2085
12,42,4.945,3.2084
12,42,7.385,3.2083
12,42,9.825,3.2082
12,42,12.265,3.2081
12,42,14.703,3.2080
12,42,17.139,3.2079
12,42,19.576,3.2078
12,42,22.016,3.2077
12,42,24.458,3.2077
12,42,26.896,3.2076
12,42,29.335,3.2075
12,42,31.774,3.2074
12,42,34.214,3.2073
12,42,36.662,3.2072
12,42,39.102,3.2071
12,42,41.54,3.2070
12,42,43.984,3.2069
12,42,46.418,3.2069
12,42,48.861,3.2068
12,42,51.298,3.2067
12,42,53.733,3.2066
12,42,56.173,3.2065
12,42,58.604,3.2064
12,43,1.038,3.2064
12,43,3.484,3.2063
12,43,5.924,3.2062
12,43,8.364,3.2061
12,43,10.797,3.2060
12,43,13.246,3.2060
12,43,15.687,3.2059
12,43,18.12,3.2058
12,43,20.56,3.2057
12,43,22.995,3.2056
12,43,25.437,3.2055
12,43,27.877,3.2055
12,43,30.312,3.2054
12,43,32.751,3.2053
12,43,35.19,3.2052
12,43,37.629,3.2051
12,43,40.072,3.2051
12,43,42.512,3.2050
12,43,44.953,3.2049
12,43,47.395,3.2048
12,43,49.836,3.2048
12,43,52.28,3.2047
12,43,54.719,3.2046
12,43,57.152,3.2045
12,43,59.585,3.2044
12,44,2.022,3.2044
12,44,4.465,3.2043
12,44,6.905,3.2042
12,44,9.338,3.2041
12,44,11.778,3.2041
12,44,14.217,3.2040
12,44,16.661,3.2039
12,44,19.089,3.2038
12,44,21.527,3.2037
12,44,23.966,3.2037
12,44,26.409,3.2036
12,44,28.842,3.2035
12,44,31.279,3.2034
12,44,33.719,3.2034
12,44,36.161,3.2033
12,44,38.594,3.2032
12,44,41.022,3.2031
12,44,43.456,3.2031
12,44,45.896,3.2030
12,44,48.332,3.2029
12,44,50.764,3.2028
12,44,53.201,3.2028
12,44,55.643,3.2027
12,44,58.082,3.2026
12,45,0.528,3.2026
12,45,2.98,3.2025
12,45,5.416,3.2024
12,45,7.849,3.2023
12,45,10.289,3.2023
12,45,12.723,3.2022
12,45,15.163,3.2021
12,45,17.595,3.2021
12,45,20.034,3.2020
12,45,22.477,3.2019
12,45,24.918,3.2018
12,45,27.352,3.2018
12,45,29.801,3.2017
12,45,32.237,3.2016
12,45,34.676,3.2015
12,45,37.108,3.2015
12,45,39.565,3.2014
12,45,42.005,3.2013
12,45,44.445,3.2013
12,45,46.873,3.2012
12,45,49.312,3.2011
12,45,51.743,3.2010
12,45,54.184,3.2010
12,45,56.624,3.2009
12,45,59.063,3.2008
12,46,1.492,3.2008
12,46,3.931,3.2007
